model_type,features_used,model_params,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,,109923.40658546968,100010.27808468348,178.59886498870873,37.97175294733712
sarimax,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']",,42798.28800133654,377801.3437749329,192.1522935217168,122.5031724756543
prophet,N/A,,,115556.51978945055,,43.81165654058138
RandomForestRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']",{'max_depth': 5},40991.69658654999,139632.34725994358,101.01450843182764,35.60278761766592
RandomForestRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'n_estimators': 200, 'max_depth': 6}",39873.040551777085,138659.8234444974,109.08666567246121,37.72608743746963
XGBRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",2.237309909183398,164167.21699535506,0.01123683832702227,44.82860267162323
XGBRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'n_estimators': 100, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.05}",17150.596957540572,131095.84939272486,20.480363070964813,32.42926299571991
XGBRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.01}",70988.07111057463,145497.14169013768,350.2770662307739,37.52624690532684
LGBMRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",130974.02836504237,177105.27707071608,763.6311607669837,42.93050727990611
LGBMRegressor,"['CHI EE Producer Prices_Lag_12', 'CC_CHI_Lag_12', '#16_Lag_3', '#6_Lag_1_RollingMean6', 'Clean_Ita_Lag_12_RollingMean3', 'UK EE Producer Prices_Lag_12', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#6_Lag_1', '#9_Lag_1', '#16_Lag_1_RollingMean6', '#12_Lag_1_RollingMean3', 'Fossil_Fra_Lag_12', '#14_Lag_1_RollingMean3', '#12_Lag_3', '#14_Lag_1', '#36_Lag_1', 'USA EUR to LCU Conversion Rate _Lag_12', 'stock_price_change_Lag_12', '#12_Lag_1', '#9_Lag_1_RollingMean6', 'USA Shipments Index_Lag_12', '#4_Lag_1_RollingMean3', 'CHI Production Index_Lag_12', 'stock_price_Lag_12', '#20_Lag_1', '#36_Lag_12', '#9_Lag_1_RollingMean3']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",130974.02836504237,177105.27707071608,763.6311607669837,42.93050727990611
