model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,4063096.2965635182,3936083.503218134,54.82566313084158,21.815220059741574
sarimax,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",4195963.170715023,4501897.59392132,49.11940669670366,32.36949028766341
prophet,N/A,,3884099.485084057,,27.674005444323907
DecisionTreeRegressor,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",0.0,3303605.3072929317,0.0,25.042138144751853
arima,N/A,4063096.2965635182,3936083.503218134,54.82566313084158,21.815220059741574
sarimax,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', '#5_Lag_1', 'Fossil_UK']",9553422.55094076,6774715.961435358,83.29738850811076,52.12739743680034
prophet,N/A,,3884099.485084057,,27.674005444323907
BaggingRegressor,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', '#5_Lag_1', 'Fossil_UK']",1467561.086165355,3099084.2786958013,20.106317999673752,21.10140231842337
arima,N/A,4063096.2965635182,3936083.503218134,54.82566313084158,21.815220059741574
sarimax,"['#20_Lag_1', '#12_Lag_3']",3752954.46854912,4889081.641780243,40.80548174238211,39.952116541599345
prophet,N/A,,3884099.485084057,,27.674005444323907
RidgeCV,"['#20_Lag_1', '#12_Lag_3']",3125162.8848681333,3369609.2140803956,43.24747044930163,23.807114649351067
XGBoost,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",1.0675284381446513,3892507.1320330296,9.41602493753635e-06,20.48153132200241
SVR,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",3658932.2431523637,4026365.5097078606,52.48774167182512,20.16096222111299
SVR,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",3658932.2431523637,4026365.5097078606,52.48774167182512,20.16096222111299
SVR,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",3658932.2431523637,4026365.5097078606,52.48774167182512,20.16096222111299
SVR,"['#1_Lag_1', 'Fossil_Swi', '#20_Lag_1', 'Fossil_US', 'TotalDaysInMonth', 'Fossil_UK']",10246612.449983709,11625672.33253596,99.99866076458206,99.9990881795517
arima,N/A,4063096.2965635182,3936083.503218134,54.82566313084158,21.815220059741574
sarimax,"['#1_Lag_1', '#20_Lag_1', '#5_Lag_1', 'TotalDaysInMonth', 'USA EUR to LCU Conversion Rate _Lag_12', '#4_Lag_6', '#16_Lag_3', 'stock_price_change_Lag_12', 'stock_volume_Lag_12', '#13_Lag_3_RollingMean3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3']",4027109.082015366,16579391.696307689,44.28487239931865,137.32829743281735
prophet,N/A,,3884099.485084057,,27.674005444323907
XGBoost,"['#1_Lag_1', '#20_Lag_1', '#5_Lag_1', 'TotalDaysInMonth', 'USA EUR to LCU Conversion Rate _Lag_12', '#4_Lag_6', '#16_Lag_3', 'stock_price_change_Lag_12', 'stock_volume_Lag_12', '#13_Lag_3_RollingMean3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3']",1.0927270737972261,4042141.3925908133,8.167473453113416e-06,24.5675191283226
OrthogonalMatchingPursuit,"['#1_Lag_1', '#20_Lag_1', '#5_Lag_1', 'TotalDaysInMonth', 'USA EUR to LCU Conversion Rate _Lag_12', '#4_Lag_6', '#16_Lag_3', 'stock_price_change_Lag_12', 'stock_volume_Lag_12', '#13_Lag_3_RollingMean3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3']",3292478.9273325726,3774888.647270699,43.943311840321925,24.7745792482417
OrthogonalMatchingPursuit,"['#1_Lag_1', '#20_Lag_1', '#5_Lag_1', 'TotalDaysInMonth', 'USA EUR to LCU Conversion Rate _Lag_12', '#4_Lag_6', '#16_Lag_3', 'stock_price_change_Lag_12', 'stock_volume_Lag_12', '#13_Lag_3_RollingMean3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3']",3292478.9273325726,3774888.647270699,43.943311840321925,24.7745792482417
OrthogonalMatchingPursuit,"['#1_Lag_1', '#20_Lag_1', '#5_Lag_1', 'TotalDaysInMonth', 'USA EUR to LCU Conversion Rate _Lag_12', '#4_Lag_6', '#16_Lag_3', 'stock_price_change_Lag_12', 'stock_volume_Lag_12', '#13_Lag_3_RollingMean3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3']",3292478.9273325726,3774888.647270699,43.943311840321925,24.7745792482417
arima,N/A,4063096.2965635182,3936083.503218134,54.82566313084158,21.815220059741574
prophet,N/A,,3884099.485084057,,27.674005444323907
XGBoost,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",1.1624588128453797,3874542.6711208127,9.606021222907657e-06,28.546926379203796
LGBMRegressor,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",3642618.467891806,3882065.6765271937,54.57055510723852,20.9146682202478
RandomForestRegressor,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",1300579.6079934912,3872589.2412521904,16.615997339798515,21.90196863701355
XGBRegressor,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",0.9847629630307418,4193784.8428702205,1.0608022904534664e-05,30.57977855205536
Ridge,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",2751744.060283353,4590544.146034616,39.96967892804596,26.878354224391632
Lasso,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",2506458.399661081,6371911.07464272,32.49857402732868,40.9242673129333
SVR,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",3658932.3607777776,4026366.218777382,52.487741223643035,20.160967893043356
RandomForestRegressor,"['#5_Lag_1', 'TotalDaysInMonth', '#20_Lag_1', 'cos_month', '#16_Lag_3', 'CC_UK_Lag_12', '#4_Lag_1_RollingMean3', '#12_Lag_12', 'stock_volume_Lag_12', '#1_Lag_1', '#4_Lag_6']",1491920.6285928169,3728348.180801245,20.448835369805124,21.904438365760395
