model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,327777.679655852,678664.0841411233,47.9444983876125,39.481907044067064
sarimax,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",276311.4576468176,543007.5254013829,49.07709707610046,29.399579594180402
prophet,N/A,,548766.4332126979,,28.00662766425848
OrthogonalMatchingPursuitCV,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",323220.92261716066,803205.3496486224,59.81668051579882,46.35765775329201
arima,N/A,327777.679655852,678664.0841411233,47.9444983876125,39.481907044067064
sarimax,"['#36_Lag_1', '#36_Lag_12', 'CHI Production Index', 'UK EE Producer Prices', '#16_Lag_3']",285368.7994434643,548035.5497700502,56.09449518069995,30.13296363077969
prophet,N/A,,548766.4332126979,,28.00662766425848
BaggingRegressor,"['#36_Lag_1', '#36_Lag_12', 'CHI Production Index', 'UK EE Producer Prices', '#16_Lag_3']",129529.11045757632,792392.523878165,25.12790285645434,50.97687429581943
arima,N/A,327777.679655852,678664.0841411233,47.9444983876125,39.481907044067064
sarimax,"['#16_Lag_3', '#12_RollingMean_12', '#12_Lag_3', '#36_Lag_1', '#36_Lag_12']",373554.66995766934,574393.585605806,85.58459574001085,54.05628863363693
prophet,N/A,,548766.4332126979,,28.00662766425848
PoissonRegressor,"['#16_Lag_3', '#12_RollingMean_12', '#12_Lag_3', '#36_Lag_1', '#36_Lag_12']",258451.51040905225,719877.1798006883,42.216832879149216,43.71902183741089
XGBoost,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",0.10094999889959021,934017.0086331405,1.0881885970093208e-05,48.205795884132385
SVR,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",361282.78626798844,993716.0627767297,57.53677599918411,58.14572808944883
SVR,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",361282.78626798844,993716.0627767297,57.53677599918411,58.14572808944883
SVR,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",361282.78626798844,993716.0627767297,57.53677599918411,58.14572808944883
SVR,"['#36_Lag_1', 'stock_price_change', 'CHI Production Index', 'SWI Production Index', '#36_Lag_12']",701773.6782595402,1455421.232696305,99.98545675328627,99.99371659179691
arima,N/A,327777.679655852,678664.0841411233,47.9444983876125,39.481907044067064
sarimax,"['CHI Production Index_Lag_12', 'USA EE Producer Prices_Lag_12_RollingMean3', 'FRA EE Producer Prices_Lag_12_RollingMean3', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#16_Lag_3', 'Clean_Ita_Lag_12', '#16_Lag_1_RollingMean3', '#11_Lag_1', '#12_Lag_12']",368585.38592729846,1075474.3365113828,57.41886498601574,102.23602031175216
prophet,N/A,,548766.4332126979,,28.00662766425848
XGBoost,"['CHI Production Index_Lag_12', 'USA EE Producer Prices_Lag_12_RollingMean3', 'FRA EE Producer Prices_Lag_12_RollingMean3', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#16_Lag_3', 'Clean_Ita_Lag_12', '#16_Lag_1_RollingMean3', '#11_Lag_1', '#12_Lag_12']",0.10261359004092181,830882.4593069708,1.1493738583112645e-05,39.70501720905304
ExtraTreeRegressor,"['CHI Production Index_Lag_12', 'USA EE Producer Prices_Lag_12_RollingMean3', 'FRA EE Producer Prices_Lag_12_RollingMean3', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#16_Lag_3', 'Clean_Ita_Lag_12', '#16_Lag_1_RollingMean3', '#11_Lag_1', '#12_Lag_12']",0.0,588209.1713218299,0.0,47.36245555964083
ExtraTreeRegressor,"['CHI Production Index_Lag_12', 'USA EE Producer Prices_Lag_12_RollingMean3', 'FRA EE Producer Prices_Lag_12_RollingMean3', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#16_Lag_3', 'Clean_Ita_Lag_12', '#16_Lag_1_RollingMean3', '#11_Lag_1', '#12_Lag_12']",0.0,588209.1713218299,0.0,47.36245555964083
ExtraTreeRegressor,"['CHI Production Index_Lag_12', 'USA EE Producer Prices_Lag_12_RollingMean3', 'FRA EE Producer Prices_Lag_12_RollingMean3', '#6_Lag_1_RollingMean3', '#13_Lag_3_RollingMean6', '#16_Lag_3', 'Clean_Ita_Lag_12', '#16_Lag_1_RollingMean3', '#11_Lag_1', '#12_Lag_12']",0.0,588209.1713218299,0.0,47.36245555964083
arima,N/A,327777.679655852,678664.0841411233,47.9444983876125,39.481907044067064
sarimax,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",377461.81547201995,2543157.521285032,52.92109515612767,181.22620440379632
prophet,N/A,,548766.4332126979,,28.00662766425848
GradientBoostingRegressor,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",4912.160575042826,656419.4766231716,0.882368390408689,29.47969070863267
XGBoost,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",0.09799085988907305,862815.8617364425,1.1838691449383987e-05,49.844470620155334
LGBMRegressor,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",352132.13738786324,928919.7713085975,68.3757208685407,54.278769132642466
RandomForestRegressor,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",124255.34680947228,761075.0491144669,20.481507150808454,40.37023962930725
XGBRegressor,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",0.11084126795051205,877062.276685071,1.4714346718847082e-05,46.14366590976715
Ridge,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",266229.63165592117,834587.429819213,46.99097771163367,39.32890539726519
Lasso,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",254792.61060462982,789757.5850116446,43.57432399334152,38.123756506988634
SVR,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",361283.01420899597,993716.8002170951,57.536630673630896,58.14576865079214
RandomForestRegressor,"['CHI Production Index_Lag_12', '#16_Lag_1_RollingMean3', 'Clean_Ita_Lag_12', '#11_Lag_1', '#12_Lag_12', '#11_Lag_1_RollingMean6', 'ITA EE Producer Prices_Lag_12']",126099.14993219214,732253.8956050484,21.2388009603466,40.097913997457034
