model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,2533.3848649632823,5624.599743030206,9.07853076942362e+19,4.402881249588594e+20
sarimax,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",2270.068233784491,2643.74609651089,5.872709054294992e+19,6.3246428598681895e+19
prophet,N/A,,2681.2756827129315,,1.2723109347862426e+20
QuantileRegressor,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",2666.939868508233,1749.279645616065,4.0920287323917664e+19,7.047382816896931e+19
arima,N/A,2533.3848649632823,5624.599743030206,9.07853076942362e+19,4.402881249588594e+20
sarimax,"['#36_RollingMean_12', 'BC_CHI']",2399.05746557316,3128.9387228734845,5.2871431642559906e+19,1.2877583197454765e+20
prophet,N/A,,2681.2756827129315,,1.2723109347862426e+20
QuantileRegressor,"['#36_RollingMean_12', 'BC_CHI']",2666.939868508233,1749.279645616065,4.0920287323917664e+19,7.047382816896931e+19
arima,N/A,2533.3848649632823,5624.599743030206,9.07853076942362e+19,4.402881249588594e+20
sarimax,"['#9_RollingMean_12', '#36_RollingMean_12', '#12_RollingMean_12']",2106.056318782915,3618.7382647413265,7.916205131743171e+19,3.18170159277773e+19
prophet,N/A,,2681.2756827129315,,1.2723109347862426e+20
SVR,"['#9_RollingMean_12', '#36_RollingMean_12', '#12_RollingMean_12']",2665.2716883340377,1749.0494850952618,4.095424748501087e+19,7.085364849973703e+19
XGBoost,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",0.0011319341307775145,2346.5552411993203,45204678246400.0,1.3194278346655007e+20
SVR,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",2665.7559177116436,1749.8715709968694,4.0915025370553836e+19,7.063406922874896e+19
SVR,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",2665.7559177116436,1749.8715709968694,4.0915025370553836e+19,7.063406922874896e+19
SVR,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",2665.7559177116436,1749.8715709968694,4.0915025370553836e+19,7.063406922874896e+19
SVR,"['#36_RollingMean_12', '#12_Lag_1', 'BC_CHI']",3148.166625799757,2079.904751652471,1.739884057312466e+18,3.4340938992192625e+18
arima,N/A,1501.2817927258536,1732.1428389059731,3.937506560446165e+19,8.227244430066729e+19
sarimax,"['#16_Lag_3_RollingMean6', '#14_Lag_1_RollingMean6', '#6_Lag_1_RollingMean3', '#5_Lag_1', '#9_Lag_12', '#1_Lag_1_RollingMean6', '#16_Lag_1', 'Year', 'Fossil_US_Lag_12_RollingMean3', 'Fossil_Chi_Lag_12_RollingMean6', '#12_Lag_1_RollingMean3', '#3_Lag_1']",646111727144030.1,3981.275174811039,3.5157137414120923e+19,1.962818837595641e+20
prophet,N/A,,1897.2328403337929,,3.1532905830214636e+19
XGBoost,"['#16_Lag_3_RollingMean6', '#14_Lag_1_RollingMean6', '#6_Lag_1_RollingMean3', '#5_Lag_1', '#9_Lag_12', '#1_Lag_1_RollingMean6', '#16_Lag_1', 'Year', 'Fossil_US_Lag_12_RollingMean3', 'Fossil_Chi_Lag_12_RollingMean6', '#12_Lag_1_RollingMean3', '#3_Lag_1']",0.0005452965970994479,1764.8509143834217,9397913190400.0,6.22408449874985e+19
PassiveAggressiveRegressor,"['#16_Lag_3_RollingMean6', '#14_Lag_1_RollingMean6', '#6_Lag_1_RollingMean3', '#5_Lag_1', '#9_Lag_12', '#1_Lag_1_RollingMean6', '#16_Lag_1', 'Year', 'Fossil_US_Lag_12_RollingMean3', 'Fossil_Chi_Lag_12_RollingMean6', '#12_Lag_1_RollingMean3', '#3_Lag_1']",1230.083116365223,1686.7961549965746,1.6765923733421683e+19,8.204366663347005e+19
PassiveAggressiveRegressor,"['#16_Lag_3_RollingMean6', '#14_Lag_1_RollingMean6', '#6_Lag_1_RollingMean3', '#5_Lag_1', '#9_Lag_12', '#1_Lag_1_RollingMean6', '#16_Lag_1', 'Year', 'Fossil_US_Lag_12_RollingMean3', 'Fossil_Chi_Lag_12_RollingMean6', '#12_Lag_1_RollingMean3', '#3_Lag_1']",1230.083116365223,1686.7961549965746,1.6765923733421683e+19,8.204366663347005e+19
PassiveAggressiveRegressor,"['#16_Lag_3_RollingMean6', '#14_Lag_1_RollingMean6', '#6_Lag_1_RollingMean3', '#5_Lag_1', '#9_Lag_12', '#1_Lag_1_RollingMean6', '#16_Lag_1', 'Year', 'Fossil_US_Lag_12_RollingMean3', 'Fossil_Chi_Lag_12_RollingMean6', '#12_Lag_1_RollingMean3', '#3_Lag_1']",1230.083116365223,1686.7961549965746,1.6765923733421683e+19,8.204366663347005e+19
