model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,282071.6729647496,219538.14845908943,202.44009075227814,61.871863229884994
sarimax,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",523279.4746468491,951824.9657957398,185.60505398573795,270.8962445317849
prophet,N/A,,246663.55673498174,,47.055467217868106
ElasticNetCV,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",246551.71680106246,224834.75416034003,205.47394580274562,64.88785719354958
arima,N/A,282071.6729647496,219538.14845908943,202.44009075227814,61.871863229884994
sarimax,"['Fossil_Fra', '#20_Lag_1', 'JAP Production Index', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",353543.5106013883,726153.6572033215,104.89034716180727,189.89317336182802
prophet,N/A,,246663.55673498174,,47.055467217868106
ElasticNetCV,"['Fossil_Fra', '#20_Lag_1', 'JAP Production Index', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",246551.71680106246,224834.75416034003,205.47394580274562,64.88785719354958
arima,N/A,282071.6729647496,219538.14845908943,202.44009075227814,61.871863229884994
sarimax,"['#20_Lag_1', '#16_Lag_1', '#14_Lag_6', '#12_Lag_12']",306746.1078049671,318008.6113933704,173.31268617951335,93.33500663766051
prophet,N/A,,246663.55673498174,,47.055467217868106
RandomForestRegressor,"['#20_Lag_1', '#16_Lag_1', '#14_Lag_6', '#12_Lag_12']",101298.82792454577,205639.54714102633,72.5744225126647,57.426224773262945
XGBoost,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",0.06476072761669512,304902.19305213273,1.4931183045518992e-05,84.22725200653076
SVR,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",247532.59298459507,234264.5687208747,213.87448299627079,69.90324430949138
SVR,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",247532.59298459507,234264.5687208747,213.87448299627079,69.90324430949138
SVR,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",247532.59298459507,234264.5687208747,213.87448299627079,69.90324430949138
SVR,"['Clean_Ita', 'Fossil_Fra', '#20_Lag_1', '#13_RollingMean_3', '#8_Lag_3', 'GER EE Production Index']",561383.1859451387,465681.9472169737,99.9920817792102,99.97979760091232
arima,N/A,282071.6729647496,219538.14845908943,202.44009075227814,61.871863229884994
sarimax,"['CHI Production Index_Lag_12', '#20_Lag_1', '#11_Lag_1_RollingMean3', 'SWI EE Production Index_Lag_12_RollingMean3', '#20_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_12_RollingMean3', 'USA EE Producer Prices_Lag_12', '#14_Lag_1_RollingMean6', '#5_Lag_1', '#12_Lag_3', '#14_Lag_6', '#6_Lag_1_RollingMean6', 'SWI EE Production Index_Lag_12', '#8_Lag_3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",306181.6597949191,1566952.940677719,42.4361674770628,381.2823531496148
prophet,N/A,,246663.55673498174,,47.055467217868106
XGBoost,"['CHI Production Index_Lag_12', '#20_Lag_1', '#11_Lag_1_RollingMean3', 'SWI EE Production Index_Lag_12_RollingMean3', '#20_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_12_RollingMean3', 'USA EE Producer Prices_Lag_12', '#14_Lag_1_RollingMean6', '#5_Lag_1', '#12_Lag_3', '#14_Lag_6', '#6_Lag_1_RollingMean6', 'SWI EE Production Index_Lag_12', '#8_Lag_3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",0.06172038525817319,259902.5816262701,1.382276906269908e-05,73.95493984222412
OrthogonalMatchingPursuit,"['CHI Production Index_Lag_12', '#20_Lag_1', '#11_Lag_1_RollingMean3', 'SWI EE Production Index_Lag_12_RollingMean3', '#20_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_12_RollingMean3', 'USA EE Producer Prices_Lag_12', '#14_Lag_1_RollingMean6', '#5_Lag_1', '#12_Lag_3', '#14_Lag_6', '#6_Lag_1_RollingMean6', 'SWI EE Production Index_Lag_12', '#8_Lag_3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",216172.01799212993,203097.4488405356,123.83364062414724,53.28292814001021
OrthogonalMatchingPursuit,"['CHI Production Index_Lag_12', '#20_Lag_1', '#11_Lag_1_RollingMean3', 'SWI EE Production Index_Lag_12_RollingMean3', '#20_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_12_RollingMean3', 'USA EE Producer Prices_Lag_12', '#14_Lag_1_RollingMean6', '#5_Lag_1', '#12_Lag_3', '#14_Lag_6', '#6_Lag_1_RollingMean6', 'SWI EE Production Index_Lag_12', '#8_Lag_3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",216172.01799212993,203097.4488405356,123.83364062414724,53.28292814001021
OrthogonalMatchingPursuit,"['CHI Production Index_Lag_12', '#20_Lag_1', '#11_Lag_1_RollingMean3', 'SWI EE Production Index_Lag_12_RollingMean3', '#20_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_12_RollingMean3', 'USA EE Producer Prices_Lag_12', '#14_Lag_1_RollingMean6', '#5_Lag_1', '#12_Lag_3', '#14_Lag_6', '#6_Lag_1_RollingMean6', 'SWI EE Production Index_Lag_12', '#8_Lag_3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",216172.01799212993,203097.4488405356,123.83364062414724,53.28292814001021
